Title,Price,Bedrooms,Living Size(m²),Land Size(m²),Location,Timestamp
rumah 2 lantai di kota bogor siap huni gratis semua biaya view gunung,1000000000.0,3,110.0,88.0,Bogor,2025-04-27T14:30:08.152628
rumah cantik di cibinong dinding bata merah gratis semua biaya biaya,777000000.0,3,80.0,70.0,Bogor,2025-04-27T14:30:08.398359
dijual cepat rumah siap huni cluster cinere green valley,1050000000.0,2,72.0,90.0,Selatan,2025-04-27T14:30:08.527981
cash/kpr rumah kokoh akses jalan 2 mobil 10 menit stasiun citayam,350000000.0,2,42.0,66.0,Depok,2025-04-27T14:30:08.812609
dijual rumah mewah golf terrace bsd tangerang,25000000000.0,7,1.0,782.0,Tangerang Selatan,2025-04-27T14:30:09.115383
"jual rumah murah dibendungan hilir, cocok untuk tinggal/ bangun kost2n",3900000000.0,3,150.0,107.0,Jakarta Selatan,2025-04-27T14:30:09.245351
di jual rumah di pondok kelapa jakarta timur,2500000000.0,4,186.0,127.0,Jakarta Timur,2025-04-27T14:30:09.362735
di jual rumah mewah 2 lantai dekat living world mall denpasar,3950000000.0,3,125.0,100.0,Denpasar,2025-04-27T14:30:09.485146
di jual rumah baru di pondok kelapa,2500000000.0,4,257.0,127.0,Jakarta Timur,2025-04-27T14:30:09.727387
di jual rumah ada kolam renang di rawamangun,5500000000.0,6,250.0,150.0,Jakarta Timur,2025-04-27T14:30:09.845616
rumah di jual tengah kota minimalis siap huni full furnis tengah kota,640000000.0,2,90.0,156.0,Palembang,2025-04-27T14:30:09.977878
tipe 55 m2/ tanah : 81 m2. 760 jt. st. depok baru. dekat jaksel,760000000.0,2,55.0,81.0,Depok,2025-04-27T14:30:10.089879
elyon eonna bsd city,4719000000.0,4,189.0,129.0,Tangerang Selatan,2025-04-27T14:30:10.201277
maja taphala - villa paling premium di sanur bali,3700000000.0,2,114.0,125.0,Denpasar,2025-04-27T14:30:10.377256
jual rumah milenial setraduta setra duta dekat tol pasteur bandung,2400000000.0,3,225.0,76.0,Bandung,2025-04-27T14:30:10.591534
last unit villa mediteranian siap huni juni 2025,3198000000.0,3,143.0,158.0,Badung,2025-04-27T14:30:10.885669
dijual rumah mewah di elyon by eonna bsd city free dp & 5 menit ke tol,5280415220.0,4,189.0,128.0,Tangerang Selatan,2025-04-27T14:30:11.140198
harga tanah saja bangunan gratis rumah mewah hook green garden jakarta,12000000000.0,7,500.0,600.0,Jakarta Barat,2025-04-27T14:30:11.414100
villa paling murah di pecatu uluwatu bali,1930000000.0,2,70.0,124.0,Badung,2025-04-27T14:30:11.675979
rumah eksklusif cosmo park di atas mall thamrin city townhouse modern,3900000000.0,3,270.0,136.0,Jakarta Pusat,2025-04-27T14:30:11.790346
