Title,Price,Bedrooms,Living Size(m²),Land Size(m²),Location,Timestamp
rumah 2 lantai di kota bogor siap huni gratis semua biaya view gunung,Rp 1.000.000.000,3,110,88,"Jalan Palem Kota Bogor Bogor Barat - Kota, Bogor",2025-04-27T14:30:08.152628
rumah cantik di cibinong dinding bata merah gratis semua biaya biaya,Rp 777.000.000,3,80,70,"Cibinong, Bogor",2025-04-27T14:30:08.398359
dijual cepat rumah siap huni cluster cinere green valley,Rp 1.050.000.000,2,72,90,"Cinere Green Valley, Pondok Cabe Ilir Kel., Pamulang, Tangerang Selatan, 15438, Indonesia Tangerang Selatan",2025-04-27T14:30:08.527981
cash/kpr rumah kokoh akses jalan 2 mobil 10 menit stasiun citayam,Rp 350.000.000,2,42,66,"Kemang Raya Residence Sawangan, Depok",2025-04-27T14:30:08.812609
dijual rumah mewah golf terrace bsd tangerang,Rp 25.000.000.000,7,1,782,"Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:30:09.115383
"jual rumah murah dibendungan hilir, cocok untuk tinggal/ bangun kost2n",Rp 3.900.000.000,3,150,107,"SetiaBudi, Jakarta Selatan",2025-04-27T14:30:09.245351
di jual rumah di pondok kelapa jakarta timur,Rp 2.500.000.000,4,186,127,"kav dki pondok kelapa jakarta timur Duren Sawit, Jakarta Timur",2025-04-27T14:30:09.362735
di jual rumah mewah 2 lantai dekat living world mall denpasar,Rp 3.950.000.000,3,125,100,"Denpasar Utara, Denpasar",2025-04-27T14:30:09.485146
di jual rumah baru di pondok kelapa,Rp 2.500.000.000,4,257,127,"Jalan Kavling DKI, Duren Sawit Kel., Duren Sawit, Jakarta Timur, 13440, Indonesia Duren Sawit, Jakarta Timur",2025-04-27T14:30:09.727387
di jual rumah ada kolam renang di rawamangun,Rp 5.500.000.000,6,250,150,"Komplek Perhubungan Laut & Jalan Paus, Rawamangun Kel., Pulo Gadung, Jakarta Timur, 13220, Indonesia Rawamangun, Jakarta Timur",2025-04-27T14:30:09.845616
rumah di jual tengah kota minimalis siap huni full furnis tengah kota,Rp 640.000.000,2,90,156,"Kemuning, Palembang",2025-04-27T14:30:09.977878
tipe 55 m2/ tanah : 81 m2. 760 jt. st. depok baru. dekat jaksel,Rp 760.000.000,2,55,81,"Limo, Depok",2025-04-27T14:30:10.089879
elyon eonna bsd city,Rp 4.719.000.000,4,189,129,"Cluster Eonna BSD City Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:30:10.201277
maja taphala - villa paling premium di sanur bali,Rp 3.700.000.000,2,114,125,"Sanur, Denpasar",2025-04-27T14:30:10.377256
jual rumah milenial setraduta setra duta dekat tol pasteur bandung,Rp 2.400.000.000,3,225,76,"Pasteur Sukajadi, Bandung",2025-04-27T14:30:10.591534
last unit villa mediteranian siap huni juni 2025,Rp 3.198.000.000,3,143,158,"Nusa Dua, Badung",2025-04-27T14:30:10.885669
dijual rumah mewah di elyon by eonna bsd city free dp & 5 menit ke tol,Rp 5.280.415.220,4,189,128,"Serpong, Tangerang Selatan",2025-04-27T14:30:11.140198
harga tanah saja bangunan gratis rumah mewah hook green garden jakarta,Rp 12.000.000.000,7,500,600,"Kebon Jeruk, Jakarta Barat",2025-04-27T14:30:11.414100
villa paling murah di pecatu uluwatu bali,Rp 1.930.000.000,2,70,124,"Uluwatu, Badung",2025-04-27T14:30:11.675979
rumah eksklusif cosmo park di atas mall thamrin city townhouse modern,Rp 3.900.000.000,3,270,136,"Tanah Abang, Jakarta Pusat",2025-04-27T14:30:11.790346
villa 3 kamar siap huni di kawasan favorit seminyak,Rp 7.950.000.000,3,250,287,"Seminyak, Kuta, Badung, Bali Seminyak, Badung",2025-04-27T14:30:11.885896
rumah 3 lantai furnished di cluster sheffield greenwich bsd,Rp 5.500.000.000,5,400,180,"Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:30:12.013401
santana tropicos - villa cantik di pecatu uluwatu bali,Rp 3.200.000.000,2,158,141,"Pecatu, Badung",2025-04-27T14:30:12.141925
dijual rumah full furnish 2 lantai di yogyakarta dekat malioboro,Rp 2.400.000.000,4,135,109,SMP Negeri 9 Yogyakarta Yogyakarta,2025-04-27T14:30:12.308010
rumah mewah deket mall the park sawangan,Rp 3.800.000.000,4,197,128,"Fore Coffee - Shila Sawangan Sawangan, Depok",2025-04-27T14:30:12.529341
dijual rumah di sentul jual modal 2020 bu shm bisa kpr,Rp 1.600.000.000,3,90,105,"Sentul, Bogor",2025-04-27T14:30:12.757065
rumah 2 lantai 3 kamar tidur cluster mizumi cicilan 2 jutaan,Rp 768.000.000,3,47,60,"Cikarang Utara, Bekasi",2025-04-27T14:30:12.851835
rumah mewah 3 lantai 9x18m bsd city,Rp 6.319.400.000,5,265,162,"Gading Serpong Gading Serpong, Tangerang",2025-04-27T14:30:13.035110
villa mewah view sawah sunset di jln utama canggu,Rp 20.000.000.000,3,850,1267,"jalan utama Babakan, Canggu, Bali Canggu, Badung",2025-04-27T14:30:13.220401
dijual rumah 2 lantai di matraman jakarta timur,Rp 1.200.000.000,3,78,53,"Rumah Pisangan Baru Matraman, Jakarta Timur",2025-04-27T14:30:13.473271
